"marker";"chrom";"loc"
"IWA4402";"IWA4402";"1B";64891
"IWA4975";"IWA4975";"1B";64891
"IWA5546";"IWA5546";"1B";64891
"IWA7737";"IWA7737";"1B";64891
"IWA6965";"IWA6965";"1B";65357
"IWA8619";"IWA8619";"1B";65357
"IWA5304";"IWA5304";"1B";65421
"IWA6581";"IWA6581";"1B";65421
"IWA7234";"IWA7234";"1B";65421
"IWA139";"IWA139";"1B";66072
"IWA4706";"IWA4706";"1B";66072
"IWA6890";"IWA6890";"1B";66072
"IWA2953";"IWA2953";"1B";66904
"IWA106";"IWA106";"1B";67141
"IWA107";"IWA107";"1B";67141
"IWA44";"IWA44";"1B";67141
"IWA4811";"IWA4811";"1B";69767
"IWA5664";"IWA5664";"1B";69767
"IWA5665";"IWA5665";"1B";69767
"IWA8082";"IWA8082";"1B";69767
"IWA1109";"IWA1109";"1B";70080
"IWA2221";"IWA2221";"1B";70080
"IWA3502";"IWA3502";"1B";70080
"IWA4197";"IWA4197";"1B";70080
"IWA4987";"IWA4987";"1B";70080
"IWA5278";"IWA5278";"1B";70080
"IWA5348";"IWA5348";"1B";70080
"IWA5561";"IWA5561";"1B";70080
"IWA6063";"IWA6063";"1B";70080
"IWA6073";"IWA6073";"1B";70080
"IWA6674";"IWA6674";"1B";70080
"IWA7119";"IWA7119";"1B";70080
"IWA7594";"IWA7594";"1B";70080
"IWA7721";"IWA7721";"1B";70080
"IWA7722";"IWA7722";"1B";70080
"IWA7723";"IWA7723";"1B";70080
"IWA8065";"IWA8065";"1B";70080
"IWA8081";"IWA8081";"1B";70080
"IWA890";"IWA890";"1B";70080
"IWA2504";"IWA2504";"1B";70644
"IWA3348";"IWA3348";"1B";70644
"IWA5322";"IWA5322";"1B";70644
"IWA2222";"IWA2222";"1B";70708
"IWA8047";"IWA8047";"1B";70708
"IWA140";"IWA140";"1B";70782
"IWA189";"IWA189";"1B";70782
"IWA1953";"IWA1953";"1B";70782
"IWA2667";"IWA2667";"1B";70782
"IWA2668";"IWA2668";"1B";70782
"IWA2753";"IWA2753";"1B";70782
"IWA4141";"IWA4141";"1B";70782
"IWA7734";"IWA7734";"1B";70782
"IWA805";"IWA805";"1B";70782
"IWA128";"IWA128";"1B";70852
"IWA188";"IWA188";"1B";70852
"IWA6758";"IWA6758";"1B";70852
"IWA5474";"IWA5474";"1B";71847
"IWA6107";"IWA6107";"1B";74186
"IWA2254";"IWA2254";"1B";74372
"IWA270";"IWA270";"1B";74372
"IWA4316";"IWA4316";"1B";74372
"IWA460";"IWA460";"1B";74372
"IWA554";"IWA554";"1B";74372
"IWA7560";"IWA7560";"1B";74372
"IWA7700";"IWA7700";"1B";74372
"IWA7836";"IWA7836";"1B";74372
"IWA7982";"IWA7982";"1B";74372
"IWA1959";"IWA1959";"1B";75102
"IWA3307";"IWA3307";"1B";75102
"IWA3945";"IWA3945";"1B";75102
"IWA4556";"IWA4556";"1B";75102
"IWA4557";"IWA4557";"1B";75102
"IWA491";"IWA491";"1B";75102
"IWA7017";"IWA7017";"1B";75102
"IWA7787";"IWA7787";"1B";75102
"IWA573";"IWA573";"1B";75814
"IWA5779";"IWA5779";"1B";75814
"IWA1231";"IWA1231";"1B";76886
"IWA515";"IWA515";"1B";76886
"IWA775";"IWA775";"1B";76886
"IWA540";"IWA540";"1B";77394
"IWA1889";"IWA1889";"1B";78443
"IWA1890";"IWA1890";"1B";78443
"IWA3712";"IWA3712";"1B";78450
"IWA4139";"IWA4139";"1B";78450
"IWA6133";"IWA6133";"1B";78450
"IWA6134";"IWA6134";"1B";78450
"IWA6731";"IWA6731";"1B";78450
"IWA6926";"IWA6926";"1B";78450
"IWA6945";"IWA6945";"1B";78450
"IWA7275";"IWA7275";"1B";78450
"IWA2315";"IWA2315";"1B";78992
"IWA5635";"IWA5635";"1B";78992
"IWA2626";"IWA2626";"1B";79126
"IWA6558";"IWA6558";"1B";79232
"IWA4361";"IWA4361";"1B";79774
"IWA5228";"IWA5228";"1B";79774
"IWA5229";"IWA5229";"1B";79774
"IWA2717";"IWA2717";"1B";81609
"IWA3684";"IWA3684";"1B";81609
"IWA1729";"IWA1729";"1B";84433
"IWA2040";"IWA2040";"1B";84433
"IWA2041";"IWA2041";"1B";84433
"IWA2588";"IWA2588";"1B";84433
"IWA2788";"IWA2788";"1B";84433
"IWA2790";"IWA2790";"1B";84433
"IWA2889";"IWA2889";"1B";84433
"IWA2890";"IWA2890";"1B";84433
"IWA4090";"IWA4090";"1B";84433
"IWA4702";"IWA4702";"1B";84433
"IWA5159";"IWA5159";"1B";84433
"IWA5160";"IWA5160";"1B";84433
"IWA6479";"IWA6479";"1B";84433
"IWA7040";"IWA7040";"1B";84433
"IWA734";"IWA734";"1B";84433
"IWA3189";"IWA3189";"1B";87295
"IWA5383";"IWA5383";"1B";89568
"IWA3120";"IWA3120";"1B";90257
"IWA5382";"IWA5382";"1B";90257
"IWA579";"IWA579";"1B";92388
"IWA8313";"IWA8313";"1B";92388
"IWA6294";"IWA6294";"1B";95117
"IWA2308";"IWA2308";"1B";96164
"IWA2411";"IWA2411";"1B";96164
"IWA255";"IWA255";"1B";96164
"IWA4875";"IWA4875";"1B";96164
"IWA8398";"IWA8398";"1B";96164
"IWA3341";"IWA3341";"1B";96409
"IWA367";"IWA367";"1B";96409
"IWA368";"IWA368";"1B";96409
"IWA7179";"IWA7179";"1B";96409
"IWA5186";"IWA5186";"1B";97714
"IWA8246";"IWA8246";"1B";99074
"IWA5769";"IWA5769";"1B";99495
"IWA3017";"IWA3017";"1B";101059
"IWA4154";"IWA4154";"1B";101059
"IWA4155";"IWA4155";"1B";101059
"IWA415";"IWA415";"1B";103570
"IWA5749";"IWA5749";"1B";108363
"IWA5915";"IWA5915";"1B";108363
"IWA3497";"IWA3497";"1B";110469
"IWA8507";"IWA8507";"1B";110926
"IWA3097";"IWA3097";"1B";113842
"IWA3095";"IWA3095";"1B";114085
"IWA3096";"IWA3096";"1B";114085
"IWA5448";"IWA5448";"1B";114085
"IWA5445";"IWA5445";"1B";114129
"IWA7422";"IWA7422";"1B";114576
"IWA4031";"IWA4031";"1B";115881
"IWA6663";"IWA6663";"1B";115881
"IWA7141";"IWA7141";"1B";115881
"IWA695";"IWA695";"1B";118287
"IWA696";"IWA696";"1B";118287
"IWA8543";"IWA8543";"1B";118287
"IWA1069";"IWA1069";"1B";122519
"IWA1825";"IWA1825";"1B";122519
"IWA3043";"IWA3043";"1B";122519
"IWA8542";"IWA8542";"1B";122764
"IWA5847";"IWA5847";"1B";125068
"IWA1092";"IWA1092";"1B";128738
"IWA8153";"IWA8153";"1B";130899
"IWA3783";"IWA3783";"1B";132134
"IWA3998";"IWA3998";"1B";132134
"IWA919";"IWA919";"1B";136106
"IWA3660";"IWA3660";"1B";137003
"IWA7992";"IWA7992";"1B";137003
"IWA8332";"IWA8332";"1B";137003
"IWA846";"IWA846";"1B";137003
"IWA848";"IWA848";"1B";137003
"IWA3892";"IWA3892";"1B";141825
"IWA3893";"IWA3893";"1B";141825
"IWA724";"IWA724";"1B";154844
"IWA6831";"IWA6831";"1B";158591
"IWA198";"IWA198";"1B";171314
"IWA2279";"IWA2279";"1B";171314
"IWA2077";"IWA2077";"1B";171425
"IWA545";"IWA545";"1B";173624
"IWA3125";"IWA3125";"1D";3402
"IWA7439";"IWA7439";"1D";3502
"IWA5996";"IWA5996";"1D";8484
"IWA6489";"IWA6489";"1D";17055
"IWA7797";"IWA7797";"1D";24307
"IWA7533";"IWA7533";"1D";32984
"IWA8551";"IWA8551";"1D";50580
"IWA1572";"IWA1572";"1D";65134
"IWA362";"IWA362";"1D";67715
"IWA5018";"IWA5018";"1D";67715
"IWA5020";"IWA5020";"1D";67715
"IWA57";"IWA57";"1D";67715
"IWA642";"IWA642";"1D";67715
"IWA830";"IWA830";"1D";67715
"IWA980";"IWA980";"1D";67715
"IWA1464";"IWA1464";"1D";70819
"IWA2164";"IWA2164";"1D";70819
"IWA1192";"IWA1192";"1D";71901
"IWA1193";"IWA1193";"1D";71901
"IWA5163";"IWA5163";"1D";71901
"IWA165";"IWA165";"1D";73127
"IWA3446";"IWA3446";"1D";75036
"IWA5698";"IWA5698";"1D";76846
"IWA3481";"IWA3481";"1D";81337
"IWA7154";"IWA7154";"1D";81934
"IWA342";"IWA342";"1D";82817
"IWA1734";"IWA1734";"1D";87358
"IWA1737";"IWA1737";"1D";87358
"IWA3058";"IWA3058";"1D";87358
"IWA3107";"IWA3107";"1D";87358
"IWA3108";"IWA3108";"1D";87358
"IWA4342";"IWA4342";"1D";87358
"IWA4343";"IWA4343";"1D";87358
"IWA4585";"IWA4585";"1D";87358
"IWA6186";"IWA6186";"1D";87358
"IWA6791";"IWA6791";"1D";87358
"IWA2021";"IWA2021";"1D";88850
"IWA4777";"IWA4777";"1D";88850
"IWA3638";"IWA3638";"1D";89584
"IWA7921";"IWA7921";"1D";89584
"IWA4586";"IWA4586";"1D";90300
"IWA4587";"IWA4587";"1D";90300
"IWA6382";"IWA6382";"1D";90300
"IWA7170";"IWA7170";"1D";90300
"IWA8278";"IWA8278";"1D";91531
"IWA2340";"IWA2340";"1D";92906
"IWA5232";"IWA5232";"1D";92906
"IWA5234";"IWA5234";"1D";92906
"IWA5235";"IWA5235";"1D";92906
"IWA1412";"IWA1412";"1D";99567
"IWA7675";"IWA7675";"1D";104779
"IWA2132";"IWA2132";"1D";107062
"IWA80";"IWA80";"1D";107255
"IWA6805";"IWA6805";"1D";111969
"IWA8173";"IWA8173";"1D";111969
"IWA7023";"IWA7023";"1D";112722
"IWA5182";"IWA5182";"1D";113238
"IWA3547";"IWA3547";"1D";115620
"IWA3549";"IWA3549";"1D";115620
"IWA7702";"IWA7702";"1D";115620
"IWA4119";"IWA4119";"1D";163855
"IWA7034";"IWA7034";"1D";163855
"IWA7488";"IWA7488";"1D";163855
"IWA8213";"IWA8213";"1D";163855
"IWA8214";"IWA8214";"1D";163855
"IWA8351";"IWA8351";"1D";165012
"IWA2425";"IWA2425";"2A";6041
"IWA2427";"IWA2427";"2A";6041
"IWA1562";"IWA1562";"2A";18572
"IWA1563";"IWA1563";"2A";18572
"IWA423";"IWA423";"2A";25023
"IWA3556";"IWA3556";"2A";25970
"IWA422";"IWA422";"2A";47217
"IWA1166";"IWA1166";"2A";53181
"IWA1242";"IWA1242";"2A";53181
"IWA5762";"IWA5762";"2A";53181
"IWA4441";"IWA4441";"2A";62806
"IWA2059";"IWA2059";"2A";65649
"IWA2696";"IWA2696";"2A";65649
"IWA2433";"IWA2433";"2A";73950
"IWA2434";"IWA2434";"2A";73950
"IWA2526";"IWA2526";"2A";74978
"IWA4213";"IWA4213";"2A";76900
"IWA4214";"IWA4214";"2A";76900
"IWA4212";"IWA4212";"2A";78033
"IWA4215";"IWA4215";"2A";78033
"IWA6477";"IWA6477";"2A";82227
"IWA3520";"IWA3520";"2A";82768
"IWA4385";"IWA4385";"2A";82768
"IWA6250";"IWA6250";"2A";88537
"IWA2067";"IWA2067";"2A";93466
"IWA2731";"IWA2731";"2A";93466
"IWA8424";"IWA8424";"2A";93466
"IWA3193";"IWA3193";"2A";97511
"IWA5893";"IWA5893";"2A";97511
"IWA2007";"IWA2007";"2A";99280
"IWA5495";"IWA5495";"2A";99280
"IWA5824";"IWA5824";"2A";99280
"IWA11";"IWA11";"2A";101974
"IWA1256";"IWA1256";"2A";101974
"IWA1370";"IWA1370";"2A";101974
"IWA1371";"IWA1371";"2A";101974
"IWA1579";"IWA1579";"2A";101974
"IWA1597";"IWA1597";"2A";101974
"IWA1936";"IWA1936";"2A";101974
"IWA2005";"IWA2005";"2A";101974
"IWA2296";"IWA2296";"2A";101974
"IWA2520";"IWA2520";"2A";101974
"IWA2531";"IWA2531";"2A";101974
"IWA3427";"IWA3427";"2A";101974
"IWA3569";"IWA3569";"2A";101974
"IWA3570";"IWA3570";"2A";101974
"IWA3946";"IWA3946";"2A";101974
"IWA4026";"IWA4026";"2A";101974
"IWA424";"IWA424";"2A";101974
"IWA4623";"IWA4623";"2A";101974
"IWA4627";"IWA4627";"2A";101974
"IWA5302";"IWA5302";"2A";101974
"IWA5406";"IWA5406";"2A";101974
"IWA5586";"IWA5586";"2A";101974
"IWA6369";"IWA6369";"2A";101974
"IWA6514";"IWA6514";"2A";101974
"IWA6734";"IWA6734";"2A";101974
"IWA690";"IWA690";"2A";101974
"IWA7075";"IWA7075";"2A";101974
"IWA7248";"IWA7248";"2A";101974
"IWA7389";"IWA7389";"2A";101974
"IWA7969";"IWA7969";"2A";101974
"IWA864";"IWA864";"2A";101974
"IWA1008";"IWA1008";"2A";103621
"IWA1252";"IWA1252";"2A";103621
"IWA1496";"IWA1496";"2A";103621
"IWA2537";"IWA2537";"2A";103621
"IWA2654";"IWA2654";"2A";103621
"IWA2948";"IWA2948";"2A";103621
"IWA3368";"IWA3368";"2A";103621
"IWA3653";"IWA3653";"2A";103621
"IWA4410";"IWA4410";"2A";103621
"IWA4815";"IWA4815";"2A";103621
"IWA5188";"IWA5188";"2A";103621
"IWA5219";"IWA5219";"2A";103621
"IWA5550";"IWA5550";"2A";103621
"IWA5585";"IWA5585";"2A";103621
"IWA581";"IWA581";"2A";103621
"IWA588";"IWA588";"2A";103621
"IWA6874";"IWA6874";"2A";103621
"IWA7548";"IWA7548";"2A";103621
"IWA7705";"IWA7705";"2A";103621
"IWA7837";"IWA7837";"2A";103621
"IWA8210";"IWA8210";"2A";103621
"IWA5378";"IWA5378";"2A";103970
"IWA5092";"IWA5092";"2A";104096
"IWA5306";"IWA5306";"2A";104096
"IWA1103";"IWA1103";"2A";104132
"IWA1274";"IWA1274";"2A";104132
"IWA2195";"IWA2195";"2A";104132
"IWA2549";"IWA2549";"2A";104132
"IWA2758";"IWA2758";"2A";104132
"IWA2831";"IWA2831";"2A";104132
"IWA2971";"IWA2971";"2A";104132
"IWA3007";"IWA3007";"2A";104132
"IWA336";"IWA336";"2A";104132
"IWA3431";"IWA3431";"2A";104132
"IWA3839";"IWA3839";"2A";104132
"IWA4628";"IWA4628";"2A";104132
"IWA5272";"IWA5272";"2A";104132
"IWA5273";"IWA5273";"2A";104132
"IWA5303";"IWA5303";"2A";104132
"IWA533";"IWA533";"2A";104132
"IWA534";"IWA534";"2A";104132
"IWA5362";"IWA5362";"2A";104132
"IWA5870";"IWA5870";"2A";104132
"IWA6753";"IWA6753";"2A";104132
"IWA7001";"IWA7001";"2A";104132
"IWA7429";"IWA7429";"2A";104132
"IWA7464";"IWA7464";"2A";104132
"IWA7531";"IWA7531";"2A";104132
"IWA8016";"IWA8016";"2A";104132
"IWA812";"IWA812";"2A";104132
"IWA32";"IWA32";"2A";105534
"IWA1174";"IWA1174";"2A";106299
"IWA2006";"IWA2006";"2A";106299
"IWA293";"IWA293";"2A";106299
"IWA294";"IWA294";"2A";106299
"IWA5793";"IWA5793";"2A";106299
"IWA8491";"IWA8491";"2A";106299
"IWA3992";"IWA3992";"2A";106858
"IWA3151";"IWA3151";"2A";108463
"IWA5068";"IWA5068";"2A";108463
"IWA70";"IWA70";"2A";108463
"IWA2807";"IWA2807";"2A";108610
"IWA7947";"IWA7947";"2A";109199
"IWA3199";"IWA3199";"2A";113297
"IWA5449";"IWA5449";"2A";113297
"IWA5574";"IWA5574";"2A";113297
"IWA5640";"IWA5640";"2A";113297
"IWA544";"IWA544";"2A";115135
"IWA8377";"IWA8377";"2A";115135
"IWA200";"IWA200";"2A";116193
"IWA2092";"IWA2092";"2A";116193
"IWA2640";"IWA2640";"2A";116193
"IWA8606";"IWA8606";"2A";116193
"IWA2612";"IWA2612";"2A";116591
"IWA5215";"IWA5215";"2A";122536
"IWA5463";"IWA5463";"2A";122536
"IWA7864";"IWA7864";"2A";122826
"IWA5216";"IWA5216";"2A";123107
"IWA6499";"IWA6499";"2A";123107
"IWA173";"IWA173";"2A";124808
"IWA4373";"IWA4373";"2A";124808
"IWA1986";"IWA1986";"2A";127382
"IWA2231";"IWA2231";"2A";127382
"IWA2232";"IWA2232";"2A";127382
"IWA7876";"IWA7876";"2A";128894
"IWA684";"IWA684";"2A";130891
"IWA1960";"IWA1960";"2A";131970
"IWA8385";"IWA8385";"2A";131970
"IWA1539";"IWA1539";"2A";133142
"IWA5959";"IWA5959";"2A";134750
"IWA3920";"IWA3920";"2A";139351
"IWA5685";"IWA5685";"2A";140944
"IWA5686";"IWA5686";"2A";140944
"IWA2370";"IWA2370";"2A";141401
"IWA4336";"IWA4336";"2A";141401
"IWA2051";"IWA2051";"2A";141655
"IWA8040";"IWA8040";"2A";142355
"IWA2601";"IWA2601";"2A";149648
"IWA8036";"IWA8036";"2A";149648
"IWA6798";"IWA6798";"2A";150115
"IWA6839";"IWA6839";"2A";150288
"IWA7031";"IWA7031";"2A";151292
"IWA319";"IWA319";"2A";151298
"IWA1413";"IWA1413";"2B";16880
"IWA7633";"IWA7633";"2B";19156
"IWA7656";"IWA7656";"2B";20606
"IWA2973";"IWA2973";"2B";26478
"IWA2407";"IWA2407";"2B";38667
"IWA5137";"IWA5137";"2B";38667
"IWA7936";"IWA7936";"2B";41359
"IWA6767";"IWA6767";"2B";42466
"IWA6768";"IWA6768";"2B";42466
"IWA8430";"IWA8430";"2B";42466
"IWA2275";"IWA2275";"2B";48540
"IWA7106";"IWA7106";"2B";48540
"IWA5708";"IWA5708";"2B";65008
"IWA1929";"IWA1929";"2B";65267
"IWA1930";"IWA1930";"2B";65267
"IWA3838";"IWA3838";"2B";65267
"IWA1931";"IWA1931";"2B";65445
"IWA5737";"IWA5737";"2B";65679
"IWA2440";"IWA2440";"2B";66196
"IWA2441";"IWA2441";"2B";66196
"IWA2442";"IWA2442";"2B";66196
"IWA7120";"IWA7120";"2B";66196
"IWA6048";"IWA6048";"2B";67072
"IWA2115";"IWA2115";"2B";67104
"IWA2116";"IWA2116";"2B";67104
"IWA4284";"IWA4284";"2B";67540
"IWA1360";"IWA1360";"2B";71999
"IWA7916";"IWA7916";"2B";71999
"IWA2571";"IWA2571";"2B";74899
"IWA4420";"IWA4420";"2B";79493
"IWA8083";"IWA8083";"2B";79493
"IWA6739";"IWA6739";"2B";79748
"IWA6740";"IWA6740";"2B";79748
"IWA6026";"IWA6026";"2B";80774
"IWA6893";"IWA6893";"2B";80774
"IWA4673";"IWA4673";"2B";83796
"IWA5818";"IWA5818";"2B";83796
"IWA4135";"IWA4135";"2B";84691
"IWA5392";"IWA5392";"2B";85252
"IWA6364";"IWA6364";"2B";87435
"IWA2557";"IWA2557";"2B";88863
"IWA2887";"IWA2887";"2B";88863
"IWA295";"IWA295";"2B";88863
"IWA5560";"IWA5560";"2B";88863
"IWA762";"IWA762";"2B";88863
"IWA763";"IWA763";"2B";88863
"IWA3080";"IWA3080";"2B";88929
"IWA3081";"IWA3081";"2B";88929
"IWA3329";"IWA3329";"2B";88929
"IWA5916";"IWA5916";"2B";88929
"IWA607";"IWA607";"2B";88929
"IWA608";"IWA608";"2B";88929
"IWA7029";"IWA7029";"2B";88929
"IWA1665";"IWA1665";"2B";89337
"IWA3824";"IWA3824";"2B";89337
"IWA1114";"IWA1114";"2B";89637
"IWA4531";"IWA4531";"2B";89637
"IWA4532";"IWA4532";"2B";89637
"IWA8221";"IWA8221";"2B";90242
"IWA2624";"IWA2624";"2B";90971
"IWA3278";"IWA3278";"2B";90971
"IWA4642";"IWA4642";"2B";90971
"IWA4720";"IWA4720";"2B";90971
"IWA6838";"IWA6838";"2B";90971
"IWA5377";"IWA5377";"2B";91102
"IWA6427";"IWA6427";"2B";91102
"IWA897";"IWA897";"2B";92194
"IWA1763";"IWA1763";"2B";92571
"IWA429";"IWA429";"2B";92571
"IWA7661";"IWA7661";"2B";93011
"IWA3924";"IWA3924";"2B";93466
"IWA4894";"IWA4894";"2B";93466
"IWA2674";"IWA2674";"2B";93840
"IWA50";"IWA50";"2B";93840
"IWA5830";"IWA5830";"2B";94651
"IWA2977";"IWA2977";"2B";95147
"IWA3213";"IWA3213";"2B";95147
"IWA4984";"IWA4984";"2B";95147
"IWA905";"IWA905";"2B";95147
"IWA5811";"IWA5811";"2B";95824
"IWA8344";"IWA8344";"2B";95824
"IWA1059";"IWA1059";"2B";96135
"IWA1087";"IWA1087";"2B";96135
"IWA3428";"IWA3428";"2B";96135
"IWA5038";"IWA5038";"2B";96135
"IWA6136";"IWA6136";"2B";96135
"IWA6830";"IWA6830";"2B";96135
"IWA1130";"IWA1130";"2B";96987
"IWA1229";"IWA1229";"2B";96987
"IWA1237";"IWA1237";"2B";96987
"IWA170";"IWA170";"2B";96987
"IWA1981";"IWA1981";"2B";96987
"IWA2344";"IWA2344";"2B";96987
"IWA2714";"IWA2714";"2B";96987
"IWA3656";"IWA3656";"2B";96987
"IWA3657";"IWA3657";"2B";96987
"IWA4303";"IWA4303";"2B";96987
"IWA4388";"IWA4388";"2B";96987
"IWA439";"IWA439";"2B";96987
"IWA535";"IWA535";"2B";96987
"IWA5724";"IWA5724";"2B";96987
"IWA6554";"IWA6554";"2B";96987
"IWA6664";"IWA6664";"2B";96987
"IWA6918";"IWA6918";"2B";96987
"IWA771";"IWA771";"2B";96987
"IWA776";"IWA776";"2B";96987
"IWA777";"IWA777";"2B";96987
"IWA8244";"IWA8244";"2B";96987
"IWA1145";"IWA1145";"2B";97264
"IWA6875";"IWA6875";"2B";97264
"IWA7951";"IWA7951";"2B";97264
"IWA4100";"IWA4100";"2B";97373
"IWA4606";"IWA4606";"2B";97501
"IWA2766";"IWA2766";"2B";98527
"IWA7520";"IWA7520";"2B";98527
"IWA3861";"IWA3861";"2B";99157
"IWA3865";"IWA3865";"2B";99157
"IWA4464";"IWA4464";"2B";99157
"IWA5262";"IWA5262";"2B";99157
"IWA6438";"IWA6438";"2B";99157
"IWA2183";"IWA2183";"2B";99160
"IWA2530";"IWA2530";"2B";99160
"IWA3618";"IWA3618";"2B";99160
"IWA4128";"IWA4128";"2B";99160
"IWA4189";"IWA4189";"2B";99160
"IWA4660";"IWA4660";"2B";99160
"IWA5961";"IWA5961";"2B";99160
"IWA6723";"IWA6723";"2B";99160
"IWA7146";"IWA7146";"2B";99160
"IWA7959";"IWA7959";"2B";99160
"IWA3942";"IWA3942";"2B";99272
"IWA2050";"IWA2050";"2B";99559
"IWA310";"IWA310";"2B";99559
"IWA3696";"IWA3696";"2B";99559
"IWA389";"IWA389";"2B";99559
"IWA4224";"IWA4224";"2B";99559
"IWA4399";"IWA4399";"2B";99559
"IWA4517";"IWA4517";"2B";99559
"IWA4696";"IWA4696";"2B";99559
"IWA4880";"IWA4880";"2B";99559
"IWA5247";"IWA5247";"2B";99559
"IWA5248";"IWA5248";"2B";99559
"IWA5259";"IWA5259";"2B";99559
"IWA5261";"IWA5261";"2B";99559
"IWA5575";"IWA5575";"2B";99559
"IWA5658";"IWA5658";"2B";99559
"IWA5723";"IWA5723";"2B";99559
"IWA6009";"IWA6009";"2B";99559
"IWA7312";"IWA7312";"2B";99559
"IWA2081";"IWA2081";"2B";99731
"IWA2544";"IWA2544";"2B";99731
"IWA2625";"IWA2625";"2B";99731
"IWA3136";"IWA3136";"2B";99731
"IWA3258";"IWA3258";"2B";99731
"IWA326";"IWA326";"2B";99731
"IWA3840";"IWA3840";"2B";99731
"IWA3862";"IWA3862";"2B";99731
"IWA4541";"IWA4541";"2B";99731
"IWA4881";"IWA4881";"2B";99731
"IWA5077";"IWA5077";"2B";99731
"IWA5254";"IWA5254";"2B";99731
"IWA5678";"IWA5678";"2B";99731
"IWA5741";"IWA5741";"2B";99731
"IWA5794";"IWA5794";"2B";99731
"IWA586";"IWA586";"2B";99731
"IWA587";"IWA587";"2B";99731
"IWA5983";"IWA5983";"2B";99731
"IWA6216";"IWA6216";"2B";99731
"IWA6921";"IWA6921";"2B";99731
"IWA7015";"IWA7015";"2B";99731
"IWA7195";"IWA7195";"2B";99731
"IWA7684";"IWA7684";"2B";99731
"IWA837";"IWA837";"2B";99731
"IWA8517";"IWA8517";"2B";99731
"IWA2184";"IWA2184";"2B";99793
"IWA2464";"IWA2464";"2B";99793
"IWA2665";"IWA2665";"2B";99793
"IWA3889";"IWA3889";"2B";99793
"IWA4107";"IWA4107";"2B";99793
"IWA4134";"IWA4134";"2B";99793
"IWA4822";"IWA4822";"2B";99793
"IWA4965";"IWA4965";"2B";99793
"IWA5090";"IWA5090";"2B";99793
"IWA5091";"IWA5091";"2B";99793
"IWA5600";"IWA5600";"2B";99793
"IWA5610";"IWA5610";"2B";99793
"IWA5659";"IWA5659";"2B";99793
"IWA5926";"IWA5926";"2B";99793
"IWA6000";"IWA6000";"2B";99793
"IWA6003";"IWA6003";"2B";99793
"IWA7215";"IWA7215";"2B";99793
"IWA742";"IWA742";"2B";99793
"IWA7420";"IWA7420";"2B";99793
"IWA7499";"IWA7499";"2B";99793
"IWA7524";"IWA7524";"2B";99793
"IWA8454";"IWA8454";"2B";99793
"IWA1056";"IWA1056";"2B";99803
"IWA1216";"IWA1216";"2B";99803
"IWA1309";"IWA1309";"2B";99803
"IWA1549";"IWA1549";"2B";99803
"IWA1661";"IWA1661";"2B";99803
"IWA1935";"IWA1935";"2B";99803
"IWA2030";"IWA2030";"2B";99803
"IWA207";"IWA207";"2B";99803
"IWA2465";"IWA2465";"2B";99803
"IWA2739";"IWA2739";"2B";99803
"IWA3045";"IWA3045";"2B";99803
"IWA3153";"IWA3153";"2B";99803
"IWA3626";"IWA3626";"2B";99803
"IWA3648";"IWA3648";"2B";99803
"IWA3734";"IWA3734";"2B";99803
"IWA3828";"IWA3828";"2B";99803
"IWA3858";"IWA3858";"2B";99803
"IWA3995";"IWA3995";"2B";99803
"IWA4014";"IWA4014";"2B";99803
"IWA4140";"IWA4140";"2B";99803
"IWA4474";"IWA4474";"2B";99803
"IWA4659";"IWA4659";"2B";99803
"IWA4752";"IWA4752";"2B";99803
"IWA4879";"IWA4879";"2B";99803
"IWA5117";"IWA5117";"2B";99803
"IWA5168";"IWA5168";"2B";99803
"IWA5256";"IWA5256";"2B";99803
"IWA5290";"IWA5290";"2B";99803
"IWA6016";"IWA6016";"2B";99803
"IWA6215";"IWA6215";"2B";99803
"IWA6505";"IWA6505";"2B";99803
"IWA697";"IWA697";"2B";99803
"IWA7238";"IWA7238";"2B";99803
"IWA7376";"IWA7376";"2B";99803
"IWA772";"IWA772";"2B";99803
"IWA838";"IWA838";"2B";99803
"IWA1215";"IWA1215";"2B";99868
"IWA2236";"IWA2236";"2B";99868
"IWA5263";"IWA5263";"2B";99868
"IWA6240";"IWA6240";"2B";99868
"IWA5128";"IWA5128";"2B";101536
"IWA2253";"IWA2253";"2B";102225
"IWA3237";"IWA3237";"2B";102225
"IWA5008";"IWA5008";"2B";102225
"IWA6175";"IWA6175";"2B";102225
"IWA1690";"IWA1690";"2B";102275
"IWA7019";"IWA7019";"2B";102472
"IWA3785";"IWA3785";"2B";103336
"IWA3786";"IWA3786";"2B";103336
"IWA5846";"IWA5846";"2B";103336
"IWA6317";"IWA6317";"2B";104031
"IWA242";"IWA242";"2B";104390
"IWA4853";"IWA4853";"2B";104390
"IWA5525";"IWA5525";"2B";104390
"IWA6969";"IWA6969";"2B";104390
"IWA1393";"IWA1393";"2B";105322
"IWA1304";"IWA1304";"2B";105908
"IWA2189";"IWA2189";"2B";105908
"IWA3035";"IWA3035";"2B";105908
"IWA3037";"IWA3037";"2B";105908
"IWA4275";"IWA4275";"2B";105908
"IWA1828";"IWA1828";"2B";106563
"IWA5461";"IWA5461";"2B";106563
"IWA6453";"IWA6453";"2B";106563
"IWA2237";"IWA2237";"2B";107006
"IWA4256";"IWA4256";"2B";107006
"IWA5397";"IWA5397";"2B";107006
"IWA5512";"IWA5512";"2B";107006
"IWA5513";"IWA5513";"2B";107006
